,close,date,high,low,open,quoteVolume,volume,weightedAverage
0,6.02078134,1560038400,6.09813537,6.02078134,6.09813537,196.15568164,1188.76283804,6.06030285
1,5.98179066,1560045600,6.0207813,5.98179066,6.0207813,843.96453398,5055.40692169,5.99007033
2,6.06320126,1560052800,6.06320126,6.03106411,6.05126321,236.40834591,1429.09017013,6.04500727
3,6.11105865,1560060000,6.11105865,6.03,6.03603281,3338.80114422,20148.47394345,6.03464329
4,6.11472693,1560067200,6.11472693,6.11105877,6.11105877,634.5223,3877.6038009,6.11105992
5,6.10059698,1560074400,6.15778401,6.06005026,6.06935117,1479.95153202,9005.84409445,6.08522907
6,5.86580808,1560081600,6.10767638,5.8564302900000005,6.10767638,2520.93561979,15029.89352635,5.96202989
7,5.8910336999999995,1560088800,6.04727467,5.866371,5.91941598,1721.63066767,10242.455766,5.94927585
8,5.75,1560096000,5.89960173,5.70386918,5.89960173,6780.39393705,38952.11345829,5.74481568
9,5.9190985,1560103200,5.9190985,5.78631,5.78631,2406.01890376,14068.80927789,5.84733946
10,5.78070635,1560110400,5.9228591999999995,5.78070635,5.9228591999999995,544.3294695,3191.68439936,5.86351571
11,5.82253,1560117600,5.82263555,5.6896314,5.7951767,1530.87987213,8768.34465826,5.72765036
12,5.74830576,1560124800,5.7965803000000005,5.74830576,5.7872537600000005,46.41357695,267.05805924,5.75387799
13,5.898,1560132000,5.89830464,5.74001153,5.78771443,1366.73711133,7976.50387134,5.83616542
14,5.79450498,1560139200,5.91102855,5.76226406,5.91102855,2041.76574075,11784.66935171,5.77180286
15,5.87476457,1560146400,5.93153976,5.86886671,5.87337957,300.20025901,1772.91417989,5.90577165
16,5.84607044,1560153600,5.95293861,5.84607044,5.9028526,602.02313044,3560.27378838,5.91384883
17,5.97831858,1560160800,5.97831858,5.747,5.84607044,4222.2665483,24891.5849709,5.89531349
18,6.01793637,1560168000,6.056,5.95866397,5.97831858,3978.09670878,23825.43391276,5.98915402
19,5.9007700100000005,1560175200,6.01940935,5.9007700100000005,5.95866397,3573.44661747,21418.8839697,5.99390064
20,5.92441827,1560182400,5.97988656,5.9,5.90000164,1382.04425108,8159.06249117,5.90361884
21,5.99999922,1560189600,5.99999922,5.92458523,5.92458523,37.33000325,223.05013588,5.9750901800000005
22,5.97763684,1560196800,5.99971639,5.89688632,5.99971639,177.75558435,1058.83115447,5.95666886
23,6.03736299,1560204000,6.08199999,5.97763684,5.97763684,284.80591371,1712.92832051,6.01437062
24,6.02017771,1560211200,6.09972825,5.9999687999999995,6.06385881,933.56658904,5670.87555035,6.07441998
25,5.9842113900000005,1560218400,6.01810339,5.91709724,6.01810339,3554.20370106,21073.33602739,5.92913006
26,6.00905084,1560225600,6.00905084,5.93000005,5.93000005,19.59089048,116.37642604,5.94033365
27,5.91559829,1560232800,5.948,5.91559829,5.948,591.62007318,3508.88418802,5.93097554
28,5.97812129,1560240000,5.97964799,5.93490052,5.97964799,160.35271882,955.45526571,5.95846002
29,5.79375055,1560247200,5.921414,5.79375055,5.921414,809.62837024,4751.73328966,5.86903011
30,5.81988367,1560254400,5.83381,5.77203481,5.83018683,1713.15998879,9982.81944677,5.82713786
31,5.79381,1560261600,5.82865717,5.79381,5.82269436,107.22547321,623.30148365,5.8129982
32,5.9,1560268800,5.94799763,5.7790851199999995,5.81957657,2313.64497937,13688.87103435,5.91658234
33,5.8595726500000005,1560276000,5.89243984,5.83328587,5.83328587,1435.37904623,8418.77451346,5.86519256
34,5.9240741,1560283200,5.9240741,5.8463319,5.8463319,828.16834081,4877.29980079,5.88926134
35,5.92763,1560290400,5.92763,5.89,5.89112,111.74889643,658.21618025,5.89013584
36,5.92763,1560297600,5.92763,5.92763,5.92763,0.0,0.0,5.92763
37,5.98,1560304800,6.00375055,5.948,5.948,704.46243604,4197.14269307,5.95793683
38,6.01698838,1560312000,6.07640092,5.93426055,5.9573458200000005,1168.37876809,7076.65262155,6.05681377
39,6.09,1560319200,6.09,5.99655855,5.99655855,385.76486295,2345.39683734,6.07986123
40,6.12897097,1560326400,6.2295064700000005,6.09,6.09,2646.67371864,16277.82683416,6.15029601
41,6.18089602,1560333600,6.24950647,6.15500001,6.2,954.36660698,5928.47101139,6.21194305
42,6.12669,1560340800,6.19591149,6.12669,6.19591149,1102.09034981,6785.59625888,6.15702356
43,6.16,1560348000,6.18513612,6.0867170999999995,6.11,1243.56358268,7596.18794698,6.10840334
44,6.05617071,1560355200,6.20066229,6.01081199,6.16,1787.9855582,10893.28259222,6.09248913
45,6.10421735,1560362400,6.11305577,6.09652982,6.10421735,1742.97771627,10634.46470837,6.10131994
46,6.02714294,1560369600,6.10496132,5.97702817,6.10496132,305.66127501,1844.99625707,6.03608113
47,6.10853695,1560376800,6.10853695,5.98725434,6.02781137,735.87558328,4485.54201966,6.09551685
48,6.10853695,1560384000,6.10853695,6.0896539,6.09638294,80.90972045,493.23317959,6.09609298
49,6.08516179,1560391200,6.08516179,6.08086859,6.08086859,135.47549559,823.85161784,6.08118548
50,6.10853689,1560398400,6.10853689,6.02525082,6.02525082,33.14935727,202.02604454,6.09441814
51,6.10853695,1560405600,6.10853695,6.06261901,6.06261901,168.38795955,1021.93393002,6.06892519
52,6.07,1560412800,6.11608598,6.07,6.11286641,1073.46417933,6552.52509424,6.10409291
53,6.12922226,1560420000,6.15331575,6.12922226,6.15331575,16.23489879,99.60933654,6.13550708
54,6.37999998,1560427200,6.37999998,6.173,6.173,3422.61981928,21381.72099609,6.24717968
55,6.35,1560434400,6.48989,6.35,6.3558235100000005,2321.78390773,14932.37813333,6.43142459
56,6.28335288,1560441600,6.4397396,6.283,6.302,1704.70886696,10810.50128402,6.34155279
57,6.30919081,1560448800,6.36794232,6.29880894,6.29880894,114.01198211,718.27142597,6.29996437
58,6.3173,1560456000,6.36008939,6.3173,6.35763405,482.75507362,3054.55625655,6.32734159
59,6.25097112,1560463200,6.3173,6.219,6.3173,1010.19932522,6341.79679845,6.2777678
60,6.14045888,1560470400,6.25826071,6.14045888,6.25826071,933.01018271,5739.39129579,6.15147766
61,6.17616877,1560477600,6.17616877,6.15503516,6.15503516,21.21398617,130.90115872,6.17051211
62,6.15863344,1560484800,6.15863344,6.1320397700000004,6.1320397700000004,258.8822054,1593.83546337,6.15660493
63,6.26636293,1560492000,6.27252589,6.18002439,6.18002439,71.6361877,444.54231692,6.20555519
64,6.1858571,1560499200,6.28303522,6.15926143,6.26397107,590.38524195,3669.15067,6.21484144
65,6.1,1560506400,6.19665346,6.1,6.19665346,270.61902237,1666.95351576,6.15977953
66,6.03527731,1560513600,6.09398077,5.9696194,6.09099972,2832.74462083,17162.51441933,6.05861689
67,6.01860161,1560520800,6.07013996,6.0,6.04732137,530.59119782,3188.42108999,6.00918579
68,5.96992471,1560528000,6.03648737,5.9,6.01837574,5756.31470896,34097.14949035,5.92343386
69,6.0603822,1560535200,6.07013996,5.96500042,5.96992471,634.00178986,3817.25591134,6.02089137
70,6.06000011,1560542400,6.11,6.03528999,6.07,567.59963812,3452.27955348,6.0822441
71,6.22270183,1560549600,6.25000003,6.10224,6.10224,5362.79598071,33069.45735134,6.16645821
72,6.17,1560556800,6.24727,6.13611196,6.24693098,2623.25122372,16346.16842133,6.23126305
73,6.19418873,1560564000,6.20360664,6.16,6.16892867,2639.99075816,16333.82318115,6.18707589
74,6.14500001,1560571200,6.16620347,6.14500001,6.16620347,56.92350365,350.9953068,6.16608754
75,6.217578,1560578400,6.245,6.129,6.18010245,10673.84054295,65442.78946485,6.131138
76,6.245,1560585600,6.245,6.217578,6.217578,74.75363411,465.31126961,6.2245973
77,6.21978984,1560592800,6.245,6.17927392,6.245,49.70893648,309.64382153,6.22913792
78,6.12283459,1560600000,6.18102341,6.12283459,6.18029875,526.58191342,3248.69819724,6.1694071
79,6.13517997,1560607200,6.13517997,6.13517997,6.13517997,1.42674931,8.75336378,6.13517997
80,6.16243399,1560614400,6.22,6.10000005,6.10000005,958.84339256,5917.27220014,6.17126033
81,6.1779456,1560621600,6.1779456,6.14000061,6.17443999,1133.21334458,6990.64236268,6.16886696
82,6.16200305,1560628800,6.19318517,6.14,6.19318517,715.67287524,4424.26622563,6.18196717
83,6.18612929,1560636000,6.20124513,6.11703151,6.11703166,3052.96315731,18679.8662647,6.11860192
84,6.17385382,1560643200,6.21073538,6.16151122,6.16151122,191.11187495,1179.51329038,6.1718472
85,6.17072077,1560650400,6.17072077,6.14110002,6.14110004,614.62792768,3774.85008036,6.1416833
86,6.35,1560657600,6.35,6.19584921,6.19584921,805.84662999,5034.36145206,6.24729478
87,6.3009758399999996,1560664800,6.39468887,6.27300003,6.35,2887.59629217,18233.29748915,6.31435133
88,6.14792493,1560672000,6.37846823,6.14792493,6.37846823,2097.4258979,13115.24558523,6.25301976
89,6.23122289,1560679200,6.24,6.19856867,6.20201634,580.24501929,3615.47247642,6.23094099
90,6.30132872,1560686400,6.30132872,6.23759205,6.23759205,454.03051606,2852.05794527,6.28164373
91,6.3703497,1560693600,6.3703497,6.27162568,6.287,134.50860896,846.01942008,6.28970462
92,6.39,1560700800,6.45,6.29054723,6.3701055,2653.62559149,16949.35062644,6.38724267
93,6.33763408,1560708000,6.39,6.30725557,6.39,1793.42648374,11426.37436967,6.37125328
94,6.48584,1560715200,6.49000002,6.32616745,6.4,2957.87717773,18978.8511689,6.41637567
95,6.7,1560722400,6.7,6.45,6.48584,5295.28321472,34851.77069005,6.5816631999999995
96,6.64,1560729600,6.82863166,6.64,6.7286449600000005,3611.84680179,24243.21241377,6.71213751
97,6.58151633,1560736800,6.61251666,6.55511895,6.61251666,55.59904582,367.1551588,6.60362337
98,6.46804564,1560744000,6.58995611,6.46804564,6.5670777099999995,567.9716848,3717.9504072,6.54601366
99,6.58298736,1560751200,6.59511179,6.46804564,6.46804566,391.80161011,2537.39657712,6.47622804
100,6.57887707,1560758400,6.57887707,6.52283781,6.54278929,896.9198484,5885.76415378,6.56219634
101,6.811,1560765600,7.0,6.6271629,6.65086145,22697.22146026,155232.10779076,6.83925598
102,6.8246,1560772800,6.93235415,6.70573614,6.798,3277.82700931,22204.49643369,6.7741514
103,6.65598167,1560780000,6.77580281,6.65598167,6.75000002,994.46971736,6650.86963296,6.68785536
104,6.76244307,1560787200,6.8246,6.75980979,6.82459999,2316.44463375,15779.27232514,6.81184954
105,6.93147307,1560794400,6.99903101,6.8177753899999995,6.823,1925.71112316,13283.58687692,6.89801638
106,7.04914306,1560801600,7.09749767,6.94882872,6.94882872,241.282395,1689.41671909,7.00182339
107,6.989,1560808800,7.06832413,6.93534127,7.04261647,999.31630237,6995.17420402,6.99996006
108,6.85,1560816000,7.00000009,6.85,6.98152455,490.69297045,3403.12126939,6.9353373099999995
109,6.798,1560823200,6.9544774799999995,6.798,6.86630132,197.63315278,1354.00177577,6.85108625
110,6.70027493,1560830400,6.93838407,6.70027493,6.93838406,27.90436795,188.48497528,6.75467638
111,6.63565002,1560837600,6.70100001,6.54743941,6.70027511,1422.74972367,9383.09035902,6.59503931
112,6.74,1560844800,6.79637872,6.61037311,6.61037311,1616.42532519,10880.33119456,6.73110661
113,6.66665104,1560852000,6.78921371,6.66665104,6.74,1577.12693037,10584.10581984,6.71100443
114,6.68529561,1560859200,6.6909,6.62122116,6.66537887,126.68984936,840.6604228,6.63557835
115,6.55000001,1560866400,6.75496085,6.27,6.7,56812.94594377,362519.03266431,6.38092298
116,6.46300537,1560873600,6.62244728,6.46300537,6.62244728,762.74349798,5010.0269777,6.56842961
117,6.53,1560880800,6.56374687,6.47300663,6.49300649,1817.06773962,11860.65611858,6.52736046
118,6.58,1560888000,6.6162471499999995,6.50027462,6.58468989,519.00775622,3421.63208764,6.59264152
119,6.57087239,1560895200,6.57142993,6.49192917,6.50027414,695.18893568,4529.3701632,6.51530818
120,6.68328021,1560902400,6.6899609,6.61148369,6.61148369,206.84266775,1377.08084852,6.65762467
121,6.78930274,1560909600,6.78930274,6.6607328,6.72620998,2178.81012164,14657.12081534,6.72712168
122,6.70142555,1560916800,6.78930263,6.7,6.78930263,53.82445814,362.63966539,6.73745129
123,6.67790541,1560924000,6.7825161,6.67790541,6.71707257,458.54935682,3068.58936098,6.69194998
124,6.6196248,1560931200,6.7784458999999995,6.61935887,6.76896057,163.17381964,1087.24373971,6.6631016
125,6.71662474,1560938400,6.71662474,6.64181777,6.64431726,434.18493276,2898.78123348,6.67637454
126,6.59496198,1560945600,6.72338402,6.55558441,6.72338402,593.55352011,3920.11623377,6.60448653
127,6.6041,1560952800,6.61273822,6.5969999999999995,6.5969999999999995,434.49848697,2866.93263794,6.59825689
128,6.65667191,1560960000,6.65667191,6.57412712,6.57412712,612.11761716,4031.20654872,6.58567313
129,6.59855998,1560967200,6.62455643,6.59161921,6.62447624,225.35010068,1486.82808767,6.59785854
130,6.59855998,1560974400,6.59855998,6.59855998,6.59855998,0.0,0.0,6.59855998
131,6.66105478,1560981600,6.66105478,6.65800255,6.65800255,24.43541099,162.71930971,6.6591599200000005
132,6.56906326,1560988800,6.63000586,6.54419099,6.59855998,384.21455456,2521.59750823,6.56299319
133,6.5973577599999995,1560996000,6.64293307,6.56510724,6.64293307,141.38987765,932.84095608,6.59765021
134,6.469,1561003200,6.59999994,6.469,6.59621359,1665.54477179,10825.82553805,6.49987062
135,6.46610374,1561010400,6.49999734,6.44555,6.48472482,446.78792954,2888.46686696,6.46496173
136,6.4007176,1561017600,6.46168592,6.32068848,6.46,2142.7007578,13649.8517264,6.37039571
137,6.33207094,1561024800,6.43410418,6.28,6.4007176,561.25716906,3542.81048403,6.31227658
138,6.43951,1561032000,6.43951,6.32179272,6.36358525,218.82995477,1395.78249422,6.37838862
139,6.45305634,1561039200,6.49464699,6.35009512,6.47155,117.61387598,753.53407405,6.4068467
140,6.34006957,1561046400,6.364685,6.31,6.364685,1598.86635218,10111.51972516,6.32418069
141,6.41668,1561053600,6.41689135,6.33117934,6.36357121,4507.17042559,28904.05630173,6.41290512
142,6.38178798,1561060800,6.4537,6.38178798,6.45369987,249.74886476,1611.11679884,6.45094743
143,6.44669079,1561068000,6.47999843,6.44669079,6.4538,20.76186826,134.50324139,6.47837852
144,6.48,1561075200,6.48,6.48,6.48,1.54320987,9.99999995,6.48
145,6.39371192,1561082400,6.57556955,6.37849296,6.47198266,717.88738376,4638.43892045,6.46123476
146,6.42,1561089600,6.42,6.36031606,6.39685424,1411.39459585,8996.00055577,6.37383803
147,6.52923,1561096800,6.57021,6.4561695199999996,6.4561695199999996,447.60271012,2923.67800517,6.53185947
148,6.55732139,1561104000,6.55732139,6.52042721,6.52923,378.89258587,2479.13073455,6.54309645
149,6.46941277,1561111200,6.55732139,6.46941277,6.55732139,431.69555147,2813.19834917,6.51662575
150,6.37624158,1561118400,6.44000001,6.37496658,6.44000001,368.53926862,2359.75440047,6.40299311
151,6.43,1561125600,6.43,6.359,6.36636637,365.1558728,2340.91697955,6.41073348
152,6.42979108,1561132800,6.5,6.42282881,6.47157546,167.0112878,1082.34682864,6.48068069
153,6.41440381,1561140000,6.49999866,6.41440381,6.46418005,697.47045079,4523.78321317,6.48598547
154,6.4144279,1561147200,6.49997437,6.41441168,6.49997437,86.93457302,558.29335136,6.42199451
155,6.551,1561154400,6.551,6.4307372,6.44010438,1875.20403066,12136.61237428,6.47215565
156,6.68114999,1561161600,6.6919625,6.44489902,6.45199174,3380.88940638,22445.45048505,6.63891887
157,6.56317873,1561168800,6.70356753,6.56317873,6.60334446,2896.27613081,19117.23448326,6.60062563
158,6.65252257,1561176000,6.70346,6.60697361,6.70077877,1609.14083117,10739.23248259,6.67389222
159,6.67429848,1561183200,6.67429848,6.63495467,6.64851742,244.3913012,1625.83531779,6.65259078
160,6.73,1561190400,6.849,6.70336873,6.70336873,2333.62010147,15847.07115853,6.7907673299999995
161,6.7476188,1561197600,6.80581033,6.62966574,6.702,849.22597349,5649.72632819,6.65279502
162,6.80363108,1561204800,6.83121374,6.60847028,6.695454,3611.71506281,24263.62607236,6.71803441
163,6.695454,1561212000,6.94999999,6.60132002,6.84,10025.02870998,68573.26670584,6.84020651
164,6.75135662,1561219200,6.89476844,6.66565249,6.695454,6267.69005599,42606.65709876,6.79782451
165,6.7073098,1561226400,6.80097727,6.7073098,6.80097727,4333.29622435,29261.99969313,6.75282698
166,6.79673408,1561233600,6.79673408,6.71,6.71,126.87793392,860.0243446,6.77836025
167,6.71600663,1561240800,6.732301,6.648,6.732301,194.50510309,1295.89411702,6.66251988
168,6.8,1561248000,6.8,6.74505792,6.77177699,22.64656524,153.66316127,6.78527448
169,6.89864631,1561255200,7.00198228,6.6704095500000005,6.8,1727.25748597,11944.01370242,6.91501631
170,7.13,1561262400,7.13,6.96818452,6.97075595,1620.51207835,11392.56963997,7.03022815
171,7.075,1561269600,7.17780339,7.02000156,7.14211517,2410.43547085,17100.55845871,7.0943855
