date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2018-11-15,42773,136,430611512,3166261.11764706,16.2534740205717,1644876943.43791,101201561.0543337122244731959,547055033829.563,0.00000475570565678628,0.000448028595907118,0.000471043235474206,542.359224660978,1700,3.55385038106078,160154.70006123,160154.70006123,17.48559088,,0.0170097055523086,94.2086470948411,,,17459935.94178237,1210546,400458,998532.79540494,94070423.7349292,5.54357713962436,522.2529023899,0.00023914,0.0225290558662603,2219969.81417969,209140352.785254,,,
2018-11-16,11859,163,195075324,1196781.12883436,13.2894581614907,1840674991.19116,138506398.7427981052351188285,547179073081.568,0.00000465800514094378,0.000491002554800583,0.00052705239683473,261.310577659761,2037.5,4.25889721158624,214773.851710152,214773.851710152,40.20815437,,0.0191794337814144,105.410479366946,,,17461973.44178237,532198,402566,434289.35534151,45778649.1305105,1.39881942883773,147.450226541583,0.0004228,0.0445675506763448,563117.14218949,59358447.8979388,,,
2018-11-17,7706,126,651224586,5168449.0952381,13.4046489082446,1984467201.62198,148043206.1448044045157609734,607151978365.876,0.00000326008718858796,0.000370459424197561,0.000218178856365923,791.790706985354,1575,3.29185676048118,178974.843112671,178974.843112671,205.63924376,,0.020656773962595,113.634821023918,,,17463548.44176053,2137321,617998,84923.22828313,9650235.84672681,0.157272772234845,17.8716633248421,0.00010237,0.0116327966282185,97194.25869559,11044652.1914258,,,
2018-11-18,9876,128,875087037,6836617.4765625,10.3845881126364,1593684542.02341,153466321.8933206733097057041,490676109566.574,0.0000020220072730383,0.000184506976602325,0.000175198872823122,802.460325736505,1600,3.34380209791753,145999.060685935,145999.060685935,150.73885509,,0.0164254241963764,91.2494129287092,,,17465148.44176053,4349214,731663,115863.61347284,10572486.7091955,0.233672505612502,21.3224789547213,0.00005154,0.00470299474234567,170969.52647396,15600868.9194483,,,
2018-11-19,510261,117,628849679,5374783.58119658,7.46680851150634,1043338302.71256,139730153.9345460888974698354,449199518577.788,0.00000205328557220245,0.000122649522052614,0.000114687935048618,382.654366501473,1462.5,3.05618818544655,87359.9505253146,87359.9505253146,77.28290121,,0.0124646924605494,59.7332995044886,,,17466610.94176053,3119901,1712349,226008.73760897,13500247.614228,0.236622423551507,14.1342380954801,0.00003585,0.00214143878723592,405180.170346,24202748.4685573,,,
2018-11-20,424630,175,262142103,1497954.87428571,5.18041528294162,744512820.82308,143716821.9456567037204949105,341810695986.227,0.00000210189686405694,0.0000895819577148035,0.0000818295900972253,116.704328724284,2187.5,4.57064922159313,93230.3272592086,93230.3272592086,69.97493053,,0.00987128556399766,42.6195781756382,,,17468798.44176053,1302766,425680,249643.66964495,10639707.8944861,0.787894026852495,33.5797110715583,0.0000222,0.000946154635499168,335390.72935057,14294211.4089409,,,
2018-11-21,7095,151,21667879,143495.887417219,5.51167875181787,831244510.498357,150815123.2914644396944084481,552195855215.549,0.00000363895981309288,0.000173139473666983,0.0000913524211629218,18.4526856850061,1887.5,3.9433912457508,89806.0911171953,89806.0911171953,122.14883906,,0.0104585663354763,47.5793860223551,,,17470685.94176053,106577,18693,143027.8509139,6805177.3305803,9.42523241437436,448.446771393932,0.00005154,0.00245224155559218,176185.8695219,8382815.49766677,,,
2018-11-22,19865,129,9151476,70941.6744186047,4.50804320378176,714971297.159034,158599033.9576271838748484462,546865659194.538,0.0000563196920465567,0.00230461741552456,0.000155087850935295,9.5042422216233,1612.5,3.36854651356731,65983.9471327606,65983.9471327606,65.62920511,,0.00950834869666861,40.9202772916345,,,17472298.44176053,4124,10259,266227.48839422,10894102.6477469,32.8914539768155,1345.92741725632,0.007129865,0.29175605285192,337433.42634815,13807869.3736326,,,
2018-11-23,9293,120,2521760,21014.6666666667,5.92495811002862,888408163.586277,149943366.1957123922824369883,466422570567.168,0.0000162748022755654,0.000827448436615255,0.000116428875003528,5.96342088268615,1500,3.13326264935924,76263.4552424854,76263.4552424854,22.64996211,,0.0118516488018703,50.8423034949903,,,17473798.44176053,7207,7153,771471.42031614,39223384.0894244,120.119137101021,6107.13362404644,0.009,0.457580731454913,859212.1876836,43684326.8128042,,,
2018-11-24,12875,155,2892937,18664.1096774194,6.30222669893567,950261360.500249,150781843.6078681983362146631,382548733213.226,0.0000135416612333605,0.000736341946910551,0.000104402001623357,5.42094941315548,1937.5,4.04668222475429,105353.58236732,105353.58236732,135.03429835,,0.0142857369959088,54.3760425121653,,,17475735.94175507,7362,6374,129417.01593762,7037185.1604216,34.0849259745733,1853.4033838174,0.00409515,0.222678050493694,217257.31816193,11813593.1684521,,,
