date,AdrActCnt,CapMrktCurUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2017-10-10,6,,,333333333.33333333,,,,,,1000000000,5,5,3,,0.8,,1,,4,,,,
2017-10-11,2,,,1000000000,,,,,,1000000000,1,1,1,,1,,1,,1,,,,
2017-10-12,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-13,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-14,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-15,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-16,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-17,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-18,2,,,16.25000041,,,,,,1000000000,1,1,61538460,,61538460,,61538460,,61538460,,,,
2017-10-19,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-20,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-21,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-22,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-23,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-24,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-25,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-26,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-27,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-28,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-29,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-30,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-10-31,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-01,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-02,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-03,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-04,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-05,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-06,2,,,80,,,,,,1000000000,2,2,12500000,,6250000,,6250000,,12500000,,,,
2017-11-07,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-08,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-09,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-10,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-11,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-12,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-13,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-14,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-15,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-16,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-17,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-18,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-19,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-20,0,,,,,,,,,1000000000,0,0,0,,,,,,0,,,,
2017-11-21,240,,,67.58323044,,,,,,1000000000,262,262,14796570,,56500.0763358779,,6600,,14803020,,,,
2017-11-22,206,,,29.67403962,,,,,,1000000000,224,224,33699489.955,,150497.258727679,,2500,,33711385.955,,,,
2017-11-23,758,,,29.76530059,,,,,,1000000000,809,809,33596166.686861,,41537.7214917936,,5000,,33604016.686861,,,,
2017-11-24,743,,,16.02389433,,,,,,1000000000,785,784,62406801.957412,,79839.1834405765,,3380,,62593919.817412,,,,
2017-11-25,624,728970847.476905,0,85.49981386,,0.0000832142785763303,0.728970847476905,,,1000000000,611,611,11695931.896104,8525993.3863351,19377.2637903502,14125.4604070352,4860.8,3543.38149541574,11839508.175904,8630656.30869848,,,
2017-11-26,559,767619014.569537,0,142.53259981,,0.0000823634096457277,0.767619014569537,,,1000000000,573,573,7015938.81911,5385568.04260538,12421.9039076963,9535.28963670334,3327.5,2554.25227098013,7117750.93911,5463720.96183101,,,
2017-11-27,1193,1144861431.84748,0,21.50676354,,0.000117654235496926,1.14486143184748,,,1000000000,1425,1425,46497000.727314,53232622.829286,32862.3384869572,37622.8238940344,3600,4121.50115465093,46828832.343914,53612524.048999,,,
2017-11-28,1030,1376408184.74794,0,47.92347479,,0.000138580474747255,1.37640818474794,,,1000000000,1224,1224,20866600.436125,28720959.6281474,17321.2264451593,23841.0778489897,3061.5,4213.87365760582,21201181.168875,29181479.2871634,,,
2017-11-29,1035,1173507290.03319,0,71.7644516,,0.00011974530518812,1.17350729003319,,,1000000000,1183,1183,13934475.604179,16352208.7042937,11974.1594287227,14051.7633816258,3000,3520.52187009957,14165430.604179,16623236.0804633,,,
2017-11-30,1622,1347339441.87132,0,4.81656079,,0.000134778219210246,1.34733944187132,,,1000000000,2283,2283,207617020.43613,279730600.437402,117367.313310075,158133.610409133,2300,3098.88071630404,267949576.286901,361019032.56405,,,
2017-12-01,1519,1180869059.81349,0,36.06805298,,0.000109249108330539,1.18086905981349,,,1000000000,2317,2317,27725366.836686,32740027.8694215,13848.2383841286,16352.956240739,2000,2361.73811962698,32086368.336026,37889799.6097924,,,
2017-12-02,793,1074803340.50934,0,96.86572392,,0.0000982914588679496,1.07480334050934,,,1000000000,1225,1225,10323569.158399,11095806.6174264,10127.215212951,10884.7647409368,1427.2834,1534.04896617353,12405838.635865,13333836.8076475,,,
2017-12-03,521,963604694.167792,0,388.90727639,,0.0000859291619168589,0.963604694167792,,,1000000000,688,688,2571306.994524,2477723.4900698,4774.87702742587,4601.09391770152,1180.44,1137.47752518343,3285115.394869,3165552.61537865,,,
2017-12-04,863,1048878634.14699,0,39.06693032,,0.0000907167419974817,1.04887863414699,,,1000000000,1433,1432,25597096.87337,26848248.0066685,21088.6038315077,22119.3859828588,2499,2621.14770673333,30198880.686719,31674960.7274537,,,
2017-12-05,416,987636942.119729,0,308.25084772,,0.0000841490702168495,0.987636942119729,,,1000000000,507,507,3244111.110799,3204003.97736616,7338.40877967258,7247.6836071804,1594,1574.29328573885,3720573.251294,3674575.58884046,,,
2017-12-06,584,933913581.850432,0,141.07939593,,0.0000667456224213598,0.933913581850432,,,1000000000,915,915,7088207.270705,6619773.04108238,8127.60606181202,7590.48168905615,1449,1353.24078010128,7436759.546558,6945290.74548638,,,
2017-12-07,536,803549849.650227,0,33.54839133,,0.0000471780183615314,0.803549849650227,,,1000000000,750,750,29807688.548611,23951963.6516572,40189.5543407307,32294.3103480038,1970,1582.99320381095,30142165.755548,24220732.7610028,,,
2017-12-08,583,808833643.138052,0,53.94653597,,0.0000496263012836761,0.808833643138052,,,1000000000,749,749,18536871.40342,14993245.2296098,24774.7285892123,20038.633982569,1731,1400.09103627197,18556271.71332,15008936.8529442,,,
2017-12-09,498,775211860.929012,0,135.23662469,,0.0000515090186108848,0.775211860929012,,,1000000000,584,584,7394446.602622,5732262.71135881,13736.0517838271,10648.3502651578,1588.706372,1231.5840231079,8021854.241755,6218636.55485218,,,
2017-12-10,346,694988014.469868,0,265.85840982,,0.0000449103738276382,0.694988014469868,,,1000000000,353,353,3761400.666881,2614128.38110126,12831.5756470708,8917.79128147766,2025,1407.35072930148,4529546.203416,3147980.32236162,,,
2017-12-11,843,612442819.583788,0,65.23366113,,0.0000362961389150206,0.612442819583788,,,1000000000,1048,1048,15329509.069774,9388447.75752764,16879.9844025458,10338.0252420255,2345,1436.17841192398,17690223.653868,10834250.4536427,,,
2017-12-12,648,646483539.157325,0,73.13217182,,0.0000370819150808085,0.646483539157325,,,1000000000,830,830,13673872.59375,8839933.54839385,18706.9924304398,12093.76267342,2995.7212405,1936.68446988721,15526803.717265,10037823.0189386,,,
2017-12-13,620,714000675.881141,0,73.71088701,,0.0000432330656807787,0.714000675881141,,,1000000000,784,784,13566516.97717,9686502.29105235,18420.9658223916,13152.582047571,3316.205,2367.77261136042,14442037.204755,10311624.3252957,,,
2017-12-14,451,757678198.342061,0,117.41114617,,0.0000456353123107578,0.757678198342061,,,1000000000,606,606,8517078.937029,6453205.02414525,15814.1480238696,11982.0351830402,2999.5,2272.65575592701,9583373.702465,7261113.32092237,,,
2017-12-15,375,705040901.651171,0,282.99575413,,0.000039828314040178,0.705040901651171,,,1000000000,497,497,3533621.919803,2491347.98443225,7736.37944037424,5454.46393615704,2300,1621.59407379769,3844980.581866,2710868.57627005,,,
2017-12-16,560,1214382123.66516,0,132.51900821,,0.0000618304658867122,1.21438212366516,,,1000000000,770,770,7546087.26345,9163833.47635103,12286.7519120039,14920.8118798463,2583.475145,3137.32603302126,9460798.972243,11489025.1474816,,,
2017-12-17,457,996222152.247786,0,285.90358184,,0.0000517505429124967,0.996222152247786,,,1000000000,564,564,3497682.657801,3484468.94523427,7321.90283685993,7294.24180268577,2200,2191.68873494513,4129553.199989,4113952.37671477,,,
2017-12-18,594,1083904192.25004,0,36.00831554,,0.0000571016101214203,1.08390419225004,,,1000000000,788,788,27771362.950406,30101496.7264425,36735.4679967183,39817.7277659101,2960.5,3208.89836115624,28947548.781414,31376369.4795372,,,
2017-12-19,621,970361238.654961,0,197.9351719,,0.0000549676153796559,0.970361238654961,,,1000000000,844,844,5052159.201319,4902419.46047396,7315.00059887678,7098.19304188785,2037.9145285,1977.5132661482,6173860.505452,5990874.92735335,,,
2017-12-20,385,965432875.942117,0,359.81074815,,0.0000586759904466299,0.965432875942117,,,1000000000,477,477,2779238.822483,2683168.52931975,6846.543152,6609.87784549717,2048.89,1978.06576518904,3265801.083504,3152911.73230215,,,
2017-12-21,486,962399511.634957,0,132.17303755,,0.0000615587662725563,0.962399511634957,,,1000000000,617,617,7565839.588383,7281360.32496822,18088.585959966,17408.4462940382,2937.53,2827.07743741304,11160657.537299,10741011.3634216,,,
