date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedUSD,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2016-10-28,964,629,1677725,2667.2893481717,1,2120522.78233888,2120522.78233888,3089.31104812903,0.0000954995073891626,1.64609714377819,1.72367082174603,668.315440373945,123.02365136,36500,2120522.78233888,2120522.78233888,3.7206079,,25.0134578445376,17236.7082174603,,,123.02365136,406,1168,33.06547062,569939.869149946,0.0343967141438356,592.886125336684,0.00899474,155.039708871919,40.17536212,692490.994393247,,,
2016-10-29,8245,608,5464079,8986.97203947369,0.544855831890607,965320.870287405,1771699.61994867,28788.9746052999,0.0000466162262392844,0.0951857458201724,0.0236860582803571,510.766712071045,349.73217668,27001.7283588938,714118.682703329,714118.682703329,1.83102706,,2.85454565978112,2041.90157589285,,,472.75582804,5366,13552,258.19161216,527201.85975182,0.12409406799144,253.387872990677,0.01006168,20.5449602481296,1681.72280942,3433912.45476965,,,
2016-10-30,12549,586,5706404,9737.89078498294,0.344793762951906,593650.748687774,1721756.05383726,49127.073770675,0.0000359850236176716,0.0207873758132204,0.00669516541756304,149.62753110356,554.91290726,19708.9980645147,320555.10840781,320555.10840781,2.00462412,,0.827822537408049,577.66742170518,,,1027.6687353,7198,27517,512.64909113,296140.678712571,0.137423710168623,79.3852003342684,0.00920632,5.31819113779283,3781.48823271,2184442.55759806,,,
2016-10-31,13352,586,5941939,10139.8276450512,0.915081260709771,2864758.23940564,3130605.29420483,52372.6807117671,0.0000445649451114923,0.0711006946147793,0.0184911492322872,414.517049604163,767.92263534,15609.9971564909,1225174.46496318,1225174.46496318,2.15585707,,2.28511467054629,1595.43996827327,,,1795.59137064,5830,36428,832.88980203,1328825.67932587,0.218064722506588,347.909173957431,0.006556825,10.4610206699734,7943.66171147,12673635.3889213,,,
2016-11-01,15724,581,5741042,9881.31153184165,0.862991167130005,3744299.37132498,4338745.88053683,73176.4627571175,0.0000537278471725125,0.0726825694944895,0.0156788523042127,406.150198335207,972.24066653,12821.1480508148,1315238.81058439,1315238.81058439,2.94264641,,1.85324464863589,1352.79139812016,,,2767.83203717,5588,41007,940.59280502,1272425.85576477,0.15788014405321,213.578900809155,0.00831781,11.2522618191978,6474.19106719,8758229.98548101,,,
2016-11-02,19183,572,6554648,11459.1748251748,0.71740438951298,3763423.23118273,5245888.21339326,88350.6341473656,0.0000593583227390927,0.0567878772333323,0.0421615981413967,393.085686209126,1165.93871891,10818.312982382,1115449.0520576,1115449.0520576,3.26242799,,1.29717813898393,956.69612301785,,,3933.77075608,6922,52792,1205.78010425,1153565.15094803,0.151383536480906,144.828042440014,0.007507705,7.18259226626173,7991.8396579,7645762.01649323,,,
2016-11-03,20269,572,6343244,11089.5874125874,0.733252237738618,4675364.85810666,6376202.64552576,102690.444099769,0.0000811087828755114,0.0715067695227698,0.076771087782194,489.392330613837,1369.4076097,9425.17379324434,1207291.13245157,1207291.13245157,4.07739109,,1.27988081697389,881.615615321474,,,5303.17836578,6844,59895,1300.63029193,1146655.97512562,0.160830309896486,141.790512621733,0.00829511,7.31309850680931,9632.93141125,8492542.75347872,,,
2016-11-04,21782,586,7729436,13190.1638225256,0.583855823615675,4201778.0643136,7196602.13080179,125429.544687378,0.0000462371684239734,0.0280894596133939,0.00704102020119463,202.468824893343,1613.23521831,8513.52868830245,980053.646367501,980053.646367501,4.69510173,,0.861491955202513,607.508214080641,,,6916.41358409,7208,73889,1473.11261333,894928.012863774,0.10318760749056,62.6873191418444,0.0070075,4.25711381017009,7624.42912987,4631903.32407174,,,
2016-11-05,19099,579,8446351,14587.8255613126,0.550702129033124,4391937.37334565,7975159.60407969,163863.301827818,0.0000796752866242038,0.0401478893331618,0.050389388020056,157.58046563266,1799.58306901,7536.11831591319,906798.895386681,906798.895386681,5.0485876,,0.713127471249562,503.89388020056,,,8715.9966531,3925,94816,1726.42278106,869933.874014965,0.0363854801702244,18.3344207859349,0.00500245,2.52070394100929,3449.92568782,1738396.44123921,,,
2016-11-06,18802,571,8687900,15215.2364273205,0.426673203901551,3536971.82008031,8289650.69223427,182194.161948332,0.000104424750392465,0.0345069649359259,0.0330448143818746,109.904683320924,1987.56421187,6777.75318405295,656786.90453301,656786.90453301,4.33353943,,0.461125672793688,330.448143818746,,,10703.56086497,3185,102295,2469.93503437,816185.447460457,0.0324988829038565,10.7391955317622,0.00488895,1.61554445272266,3324.47322665,1098566.00692161,,,
