,Gold,XRP_Amount,action,price_action_happened
1507374600,0.0,214.4419,brought,0.23269705
1507376100,50.11,0.0,sell_profit,0.2341438
1507376700,0.0,215.0434,brought,0.23255582
1507378500,50.17,0.0,sell_profit,0.23375758
1507380900,0.0,214.5986,brought,0.23330614
1507381200,50.12,0.0,sell_profit,0.234
1507382700,0.0,213.741,brought,0.234
1507383000,50.05,0.0,sell_profit,0.23461251
1507383300,0.0,213.4441,brought,0.23400004
1507383600,49.98,0.0,sell_profit,0.23461424
1507384200,0.0,213.3261,brought,0.23380603
1507384500,49.91,0.0,sell_profit,0.23445143
1507384800,0.0,213.0476,brought,0.23381977
1507387200,49.85,0.0,sell_profit,0.23445
1507387800,0.0,213.1243,brought,0.23342911
1507389600,49.77,0.0,sell_profit,0.234
1507391100,0.0,211.8611,brought,0.23445463
1507391400,49.91,0.0,sell_profit,0.23607369
1507392300,0.0,211.9778,brought,0.23500081
1507392600,49.94,0.0,sell_profit,0.23607037
1507392900,0.0,212.454,brought,0.2346
1507394400,49.97,0.0,sell_profit,0.23566678
1507394700,0.0,212.7194,brought,0.2344322
1507395300,49.91,0.0,sell_profit,0.23509929999999998
1507396200,0.0,212.8628,brought,0.2340021
1507396500,49.91,0.0,sell_profit,0.23495475
1507396800,0.0,212.8773,brought,0.23400001
1507397100,49.86,0.0,sell_profit,0.23470576
1507397400,0.0,212.6661,brought,0.234
1507399500,49.79,0.0,sell_profit,0.23456953
1507401000,0.0,213.1508,brought,0.23310095
1507401600,50.01,0.0,sell_profit,0.23509941
1507402200,0.0,214.1165,brought,0.23310378
1507402500,50.24,0.0,sell_profit,0.23509492
1507405200,0.0,214.3539,brought,0.2338962
1507405500,50.4,0.0,sell_profit,0.23561060000000003
1507407300,0.0,214.1493,brought,0.23489333
1507407600,50.42,0.0,sell_profit,0.2359
1507407900,0.0,214.3651,brought,0.23472077
1507409700,50.47,0.0,sell_profit,0.23589056
1507411800,0.0,213.3422,brought,0.23607448
1507412100,50.46,0.0,sell_profit,0.237
1507412400,0.0,213.3234,brought,0.2360737
1507412700,50.52,0.0,sell_profit,0.2372752
1507414500,0.0,212.7177,brought,0.237
1507414800,50.59,0.0,sell_profit,0.23829949
1507417500,0.0,210.5455,brought,0.23979594
1507417800,50.78,0.0,sell_profit,0.24167978
1507418400,0.0,210.7153,brought,0.24052005
1507418700,50.83,0.0,sell_profit,0.24172495
1507419000,0.0,210.9177,brought,0.24052798
1507420800,50.78,0.0,sell_profit,0.24124506
1507421400,0.0,211.3425,brought,0.23979804
1507422000,50.71,0.0,sell_profit,0.24044337
1507422900,0.0,211.6546,brought,0.23912948
1507423200,50.74,0.0,sell_profit,0.24018828
1507424400,0.0,211.9636,brought,0.23887978
1507424700,50.8,0.0,sell_profit,0.2401514
1507425900,0.0,211.7617,brought,0.2394197
1507426200,51.14,0.0,sell_profit,0.242
1507427700,0.0,212.6725,brought,0.24000077
1507428000,51.15,0.0,sell_profit,0.2410045
