Region,Year,Month,Deaths
North East,2006,1,2570
North East,2006,2,2194
North East,2006,3,2517
North East,2006,4,2221
North East,2006,5,2381
North East,2006,6,2136
North East,2006,7,2030
North East,2006,8,2078
North East,2006,9,1929
North East,2006,10,2218
North East,2006,11,2268
North East,2006,12,2328
North West,2006,1,6797
North West,2006,2,5832
North West,2006,3,6628
North West,2006,4,5756
North West,2006,5,6013
North West,2006,6,5662
North West,2006,7,5450
North West,2006,8,5445
North West,2006,9,5223
North West,2006,10,5674
North West,2006,11,5780
North West,2006,12,5566
Yorkshire and the Humber,2006,1,4789
Yorkshire and the Humber,2006,2,4081
Yorkshire and the Humber,2006,3,4636
Yorkshire and the Humber,2006,4,3986
Yorkshire and the Humber,2006,5,4193
Yorkshire and the Humber,2006,6,4010
Yorkshire and the Humber,2006,7,3792
Yorkshire and the Humber,2006,8,3905
Yorkshire and the Humber,2006,9,3660
Yorkshire and the Humber,2006,10,4068
Yorkshire and the Humber,2006,11,4235
Yorkshire and the Humber,2006,12,4046
East Midlands,2006,1,3977
East Midlands,2006,2,3559
East Midlands,2006,3,4036
East Midlands,2006,4,3460
East Midlands,2006,5,3444
East Midlands,2006,6,3379
East Midlands,2006,7,3313
East Midlands,2006,8,3280
East Midlands,2006,9,2947
East Midlands,2006,10,3409
East Midlands,2006,11,3593
East Midlands,2006,12,3411
Wales,2006,1,2997
Wales,2006,2,2686
Wales,2006,3,3014
Wales,2006,4,2524
Wales,2006,5,2562
Wales,2006,6,2550
Wales,2006,7,2483
Wales,2006,8,2439
Wales,2006,9,2298
Wales,2006,10,2433
Wales,2006,11,2569
Wales,2006,12,2528
West Midlands,2006,1,5166
West Midlands,2006,2,4358
West Midlands,2006,3,5163
West Midlands,2006,4,4193
West Midlands,2006,5,4492
West Midlands,2006,6,4197
West Midlands,2006,7,4059
West Midlands,2006,8,4008
West Midlands,2006,9,3832
West Midlands,2006,10,4171
West Midlands,2006,11,4363
West Midlands,2006,12,4118
East,2006,1,5083
East,2006,2,4494
East,2006,3,5130
East,2006,4,4212
East,2006,5,4409
East,2006,6,4174
East,2006,7,3933
East,2006,8,4004
East,2006,9,3724
East,2006,10,4075
East,2006,11,4379
East,2006,12,4229
London,2006,1,4945
London,2006,2,4437
London,2006,3,5082
London,2006,4,3984
London,2006,5,4358
London,2006,6,4231
London,2006,7,4029
London,2006,8,4094
London,2006,9,3709
London,2006,10,4059
London,2006,11,4276
London,2006,12,4000
South East,2006,1,7624
South East,2006,2,6560
South East,2006,3,7709
South East,2006,4,6020
South East,2006,5,6244
South East,2006,6,6083
South East,2006,7,5798
South East,2006,8,5702
South East,2006,9,5421
South East,2006,10,6042
South East,2006,11,6345
South East,2006,12,5948
South West,2006,1,5057
South West,2006,2,4381
South West,2006,3,5195
South West,2006,4,4187
South West,2006,5,4236
South West,2006,6,4262
South West,2006,7,3878
South West,2006,8,4074
South West,2006,9,3761
South West,2006,10,4141
South West,2006,11,4418
South West,2006,12,4165
North East,2007,1,2736
North East,2007,2,2300
North East,2007,3,2447
North East,2007,4,2165
North East,2007,5,2192
North East,2007,6,1959
North East,2007,7,2131
North East,2007,8,2007
North East,2007,9,1890
North East,2007,10,2320
North East,2007,11,2237
North East,2007,12,2349
North West,2007,1,7136
North West,2007,2,6309
North West,2007,3,6282
North West,2007,4,5803
North West,2007,5,5768
North West,2007,6,5323
North West,2007,7,5592
North West,2007,8,5342
North West,2007,9,4966
North West,2007,10,5996
North West,2007,11,6006
North West,2007,12,5989
Yorkshire and the Humber,2007,1,5024
Yorkshire and the Humber,2007,2,4543
Yorkshire and the Humber,2007,3,4326
Yorkshire and the Humber,2007,4,4263
Yorkshire and the Humber,2007,5,4079
Yorkshire and the Humber,2007,6,3830
Yorkshire and the Humber,2007,7,3940
Yorkshire and the Humber,2007,8,3886
Yorkshire and the Humber,2007,9,3518
Yorkshire and the Humber,2007,10,4254
Yorkshire and the Humber,2007,11,4229
Yorkshire and the Humber,2007,12,4525
East Midlands,2007,1,4020
East Midlands,2007,2,3786
East Midlands,2007,3,3687
East Midlands,2007,4,3322
East Midlands,2007,5,3437
East Midlands,2007,6,3101
East Midlands,2007,7,3254
East Midlands,2007,8,3228
East Midlands,2007,9,2897
East Midlands,2007,10,3566
East Midlands,2007,11,3497
East Midlands,2007,12,3616
Wales,2007,1,3153
Wales,2007,2,2906
Wales,2007,3,2709
Wales,2007,4,2736
Wales,2007,5,2676
Wales,2007,6,2442
Wales,2007,7,2572
Wales,2007,8,2471
Wales,2007,9,2220
Wales,2007,10,2770
Wales,2007,11,2713
Wales,2007,12,2780
West Midlands,2007,1,5170
West Midlands,2007,2,4735
West Midlands,2007,3,4630
West Midlands,2007,4,4307
West Midlands,2007,5,4319
West Midlands,2007,6,3981
West Midlands,2007,7,4025
West Midlands,2007,8,3965
West Midlands,2007,9,3539
West Midlands,2007,10,4316
West Midlands,2007,11,4365
West Midlands,2007,12,4579
East,2007,1,5227
East,2007,2,4475
East,2007,3,4520
East,2007,4,4215
East,2007,5,4321
East,2007,6,3789
East,2007,7,4051
East,2007,8,4028
East,2007,9,3652
East,2007,10,4375
East,2007,11,4346
East,2007,12,4564
London,2007,1,5079
London,2007,2,4314
London,2007,3,4401
London,2007,4,4128
London,2007,5,4213
London,2007,6,3830
London,2007,7,4003
London,2007,8,3915
London,2007,9,3551
London,2007,10,4149
London,2007,11,4388
London,2007,12,4294
South East,2007,1,7470
South East,2007,2,6488
South East,2007,3,6508
South East,2007,4,6090
South East,2007,5,6241
South East,2007,6,5669
South East,2007,7,5920
South East,2007,8,5929
South East,2007,9,5236
South East,2007,10,6520
South East,2007,11,6483
South East,2007,12,6665
South West,2007,1,5186
South West,2007,2,4723
South West,2007,3,4771
South West,2007,4,4286
South West,2007,5,4233
South West,2007,6,4010
South West,2007,7,4130
South West,2007,8,4150
South West,2007,9,3649
South West,2007,10,4554
South West,2007,11,4492
South West,2007,12,4486
North East,2008,1,2876
North East,2008,2,2293
North East,2008,3,2255
North East,2008,4,2363
North East,2008,5,2100
North East,2008,6,1984
North East,2008,7,2148
North East,2008,8,1852
North East,2008,9,2183
North East,2008,10,2270
North East,2008,11,2166
North East,2008,12,2896
North West,2008,1,7157
North West,2008,2,5939
North West,2008,3,5896
North West,2008,4,6418
North West,2008,5,5325
North West,2008,6,5258
North West,2008,7,5645
North West,2008,8,4865
North West,2008,9,5463
North West,2008,10,5661
North West,2008,11,5541
North West,2008,12,7572
Yorkshire and the Humber,2008,1,5119
Yorkshire and the Humber,2008,2,4160
Yorkshire and the Humber,2008,3,4207
Yorkshire and the Humber,2008,4,4512
Yorkshire and the Humber,2008,5,3984
Yorkshire and the Humber,2008,6,3874
Yorkshire and the Humber,2008,7,3971
Yorkshire and the Humber,2008,8,3441
Yorkshire and the Humber,2008,9,3830
Yorkshire and the Humber,2008,10,4141
Yorkshire and the Humber,2008,11,3908
Yorkshire and the Humber,2008,12,5392
East Midlands,2008,1,4197
East Midlands,2008,2,3471
East Midlands,2008,3,3454
East Midlands,2008,4,3888
East Midlands,2008,5,3224
East Midlands,2008,6,3194
East Midlands,2008,7,3326
East Midlands,2008,8,2926
East Midlands,2008,9,3178
East Midlands,2008,10,3527
